"Date","Value"
1997-07-31,1677.43
1997-08-31,1649.19
1997-09-30,1765.58
1997-10-31,1741.1
1997-11-30,1696.37
1997-12-31,1738.75
1998-01-31,1670.67
1998-02-28,1643.23
1998-03-31,1721.06
1998-04-30,1720.16
1998-05-31,1781.41
1998-06-30,1723.35
1998-07-31,1712.24
1998-08-31,1682.5
1998-09-30,1685.86
1998-10-31,1647.52
1998-11-30,1599.91
1998-12-31,1524.12
1999-01-31,1455.79
1999-02-28,1411.14
1999-03-31,1313.89
1999-04-30,1177.89
1999-05-31,1059.24
1999-06-30,1162.91
1999-07-31,1113.24
1999-08-31,1003.57
1999-09-30,1060.56
1999-10-31,1021.54
1999-11-30,922.08
1999-12-31,918.75
2000-01-31,918.48
2000-02-29,860.74
2000-03-31,925.93
2000-04-30,911.95
2000-05-31,909.42
2000-06-30,948.23
2000-07-31,967.11
2000-08-31,877.79
2000-09-30,882.73
2000-10-31,877.72
2000-11-30,873.99
2000-12-31,892.78
2001-01-31,966.39
2001-02-28,1157.47
2001-03-31,1124.41
2001-04-30,1083.66
2001-05-31,1077.44
2001-06-30,973.29
2001-07-31,965.32
2001-08-31,1032.48
2001-09-30,1026.2
2001-10-31,1084.86
2001-11-30,1231.55
2001-12-31,1337.43
2002-01-31,1385.93
2002-02-28,1490.39
2002-03-31,1592.03
2002-04-30,1568.15
2002-05-31,1604.7
2002-06-30,1656.46
2002-07-31,1872
2002-08-31,1959.27
2002-09-30,2167.41
2002-10-31,2201.5
2002-11-30,1825.06
2002-12-31,2025.61
2003-01-31,2190.14
2003-02-28,2230.35
2003-03-31,1989.84
2003-04-30,1932.14
2003-05-31,1729.21
2003-06-30,1579.11
2003-07-31,1556.87
2003-08-31,1565.55
2003-09-30,1625.39
2003-10-31,1481.68
2003-11-30,1510.01
2003-12-31,1646.58
2004-01-31,1626.4
2004-02-29,1566.09
2004-03-31,1504.43
2004-04-30,1435.67
2004-05-31,1413.04
2004-06-30,1404.71
2004-07-31,1567.86
2004-08-31,1727.33
2004-09-30,1541.14
2004-10-31,1483.8
2004-11-30,1665.71
2004-12-31,1672.75
2005-01-31,1549.89
2005-02-28,1719.46
2005-03-31,1763.91
2005-04-30,1585.95
2005-05-31,1509.46
2005-06-30,1538.63
2005-07-31,1488.32
2005-08-31,1482.23
2005-09-30,1504.16
2005-10-31,1453.83
2005-11-30,1428.78
2005-12-31,1511.32
2006-01-31,1576.23
2006-02-28,1546.37
2006-03-31,1545.05
2006-04-30,1552.34
2006-05-31,1594.3
2006-06-30,1605.78
2006-07-31,1673.21
2006-08-31,1612.94
2006-09-30,1566.34
2006-10-31,1530.17
2006-11-30,1582.54
2006-12-31,1702.16
2007-01-31,1701.93
2007-02-28,1811.15
2007-03-31,1924.2
2007-04-30,2034.25
2007-05-31,2011.13
2007-06-30,2013.04
2007-07-31,2151.67
2007-08-31,1902.09
2007-09-30,1944.01
2007-10-31,1916.67
2007-11-30,1967.31
2007-12-31,2119.88
2008-01-31,2216.38
2008-02-29,2522.83
2008-03-31,2647.64
2008-04-30,2631.23
2008-05-31,2693.41
2008-06-30,3021.76
2008-07-31,2953.67
2008-08-31,2796.8
2008-09-30,2672.05
2008-10-31,2251.23
2008-11-30,2046.08
2008-12-31,2420.04
2009-01-31,2608.89
2009-02-28,2660.47
2009-03-31,2493.98
2009-04-30,2541.7
2009-05-31,2554.6
2009-06-30,2699.61
2009-07-31,2805.48
2009-08-31,2956.66
2009-09-30,3149.51
2009-10-31,3372.5
2009-11-30,3379.33
2009-12-31,3517.54
2010-01-31,3522.1
2010-02-28,3276.56
2010-03-31,3089.65
2010-04-30,3221.23
2010-05-31,3165.75
2010-06-30,3230.83
2010-07-31,3229.55
2010-08-31,3071.71
2010-09-30,2874.98
2010-10-31,2927.45
2010-11-30,2910.31
2010-12-31,3047.06
2011-01-31,3164.48
2011-02-28,3471.1
2011-03-31,3392.97
2011-04-30,3113.51
2011-05-31,3070.77
2011-06-30,3015.64
2011-07-31,3167.18
2011-08-31,3064.31
2011-09-30,2873.88
2011-10-31,2680.05
2011-11-30,2527.43
2011-12-31,2200.61
2012-01-31,2307.76
2012-02-29,2356.24
2012-03-31,2359.25
2012-04-30,2266.78
2012-05-31,2113.09
2012-06-30,2265.84
2012-07-31,2349.82
2012-08-31,2512.26
2012-09-30,2620.28
2012-10-31,2463.54
2012-11-30,2478.16
2012-12-31,2431.82
2013-01-31,2275.44
2013-02-28,2197.7
2013-03-31,2153.36
2013-04-30,2294.72
2013-05-31,2345.73
2013-06-30,2283.58
2013-07-31,2308.53
2013-08-31,2483.61
2013-09-30,2616.05
2013-10-31,2730.7
2013-11-30,2755.17
2013-12-31,2824.54
2014-01-31,2819.43
2014-02-28,2992.76
2014-03-31,3041.67
2014-04-30,3050.61
2014-05-31,3030
2014-06-30,3174.31
2014-07-31,3196.04
2014-08-31,3270.27
2014-09-30,3221.27
2014-10-31,3100.83
2014-11-30,2909.09
2014-12-31,2946.95
2015-01-31,2915.6
2015-02-28,2961.94
2015-03-31,2878.03
2015-04-30,2868.27
2015-05-31,3096
2015-06-30,3239.88
2015-07-31,3325.96
2015-08-31,3154.02
2015-09-30,3278.45
2015-10-31,3197.34
2015-11-30,3360.84
2015-12-31,3345.66
2016-01-31,2952.42
2016-02-29,2916.37
2016-03-31,3073.3
